bed,bath,area,budget,price,local_street,local_ward,local_district,local_city
2,1,153.2,17,110.96,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,26.9,3.2,118.95,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,58.2,6,103.09,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
6,5,115,25,217.39,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
19,19,154.9,20,129.11,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
4,7,91.5,15,163.93,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,158.3,16.2,102.33,Đ.Nguyễn Xí,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,1,83.4,6.8,81.53,Đ.Nơ Trang Long,P.13,Q.Bình Thạnh,Hồ Chí Minh
2,2,18.8,2.75,146.27,Đ.Phan Bội Châu,P.14,Q.Bình Thạnh,Hồ Chí Minh
4,3,32.3,5.4,167.18,Đ.Phan Bội Châu,P.14,Q.Bình Thạnh,Hồ Chí Minh
4,5,86.6,22,254.04,Đ.Nguyễn An Ninh,P.14,Q.Bình Thạnh,Hồ Chí Minh
4,5,159.9,28,175.1,Đ.Lê Quang Định,P.14,Q.Bình Thạnh,Hồ Chí Minh
2,2,161,41,254.65,Đ.Bạch Đằng,P.14,Q.Bình Thạnh,Hồ Chí Minh
3,3,17,3.1,182.35,Đ.Nơ Trang Long,P.14,Q.Bình Thạnh,Hồ Chí Minh
6,4,97,8.9,91.75,Đ.Nơ Trang Long,P.14,Q.Bình Thạnh,Hồ Chí Minh
2,2,60,4.95,82.5,Đ.Nguyễn An Ninh,P.14,Q.Bình Thạnh,Hồ Chí Minh
2,2,27,4.4,162.96,Đ.Trần Văn Kỷ,P.14,Q.Bình Thạnh,Hồ Chí Minh
3,5,65.4,20.5,313.45,Đ.Bùi Đình Túy,P.14,Q.Bình Thạnh,Hồ Chí Minh
3,4,74.7,6.75,90.36,Đ.Nơ Trang Long,P.14,Q.Bình Thạnh,Hồ Chí Minh
2,2,48.4,10,206.61,Đ.Trần Văn Kỷ,P.14,Q.Bình Thạnh,Hồ Chí Minh
5,4,81.2,25,307.88,Đ.Huỳnh Đình Hai,P.14,Q.Bình Thạnh,Hồ Chí Minh
1,1,12.41,3.7,298.14,Đ.Trường Sa,P.15,Q.Bình Thạnh,Hồ Chí Minh
1,1,36.5,3.8,104.1,Đ.Bạch Đằng,P.15,Q.Bình Thạnh,Hồ Chí Minh
2,2,18,2.95,163.88,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
4,3,62.2,9.9,159.16,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
2,2,73.6,6.2,84.23,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
2,2,45.5,5.6,123.07,Đ.Trường Sa,P.15,Q.Bình Thạnh,Hồ Chí Minh
2,2,64.7,5.99,92.58,Đ.Bạch Đằng,P.15,Q.Bình Thạnh,Hồ Chí Minh
2,2,40.2,3.8,94.52,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
3,3,19.7,4.2,213.19,Đ.Trường Sa,P.15,Q.Bình Thạnh,Hồ Chí Minh
2,2,35,5.5,157.14,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
4,5,85.3,19,222.74,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
